1000,2,5.6642,16.1502
1000,2,3.4138,9.9424
1000,2,0.7999,6.0393
1000,2,0.6492,1.4606
1000,2,0.6652,1.4617
1000,4,0.6654,2.7452
1000,4,0.6733,3.9829
1000,4,3.0439,3.6399
1000,4,0.6665,1.9804
1000,4,0.6412,3.5767
5000,2,13.8645,27.4933
5000,2,15.5329,21.4967
5000,2,14.1398,19.4918
5000,2,13.9068,21.3576
5000,2,15.2976,24.7504
5000,4,15.2744,24.2833
5000,4,19.1367,25.3753
5000,4,19.0182,26.8641
5000,4,19.465,19.3558
5000,4,15.186,55.0597
10000,2,67.603,70.7764
10000,2,59.4321,70.3626
10000,2,57.8629,73.9857
10000,2,61.1973,74.268
10000,2,56.9098,74.5461
10000,4,60.6775,76.7636
10000,4,56.3186,64.1974
10000,4,58.0176,63.5514
10000,4,57.1153,63.8742
10000,4,60.9461,67.8014
