1000,2,1.7216,274.8662
1000,2,2.6317,178.5483
1000,2,0.1456,179.8729
1000,2,0.1002,162.724
1000,2,1.4421,137.1419
1000,4,0.1503,234.5232
1000,4,0.1116,146.5698
1000,4,0.1068,259.2893
1000,4,0.1089,116.8934
1000,4,0.1064,162.461
5000,2,0.6276,212.6593
5000,2,0.6273,160.9458
5000,2,0.6104,184.5084
5000,2,0.6068,151.2526
5000,2,0.6051,293.6585
5000,4,0.608,234.2586
5000,4,0.5962,159.8352
5000,4,0.9996,182.5641
5000,4,0.594,160.022
5000,4,0.6051,183.2795
10000,2,1.3655,110.0254
10000,2,1.2736,107.4699
10000,2,1.3002,117.6271
10000,2,1.2725,142.0751
10000,2,1.3019,148.2003
10000,4,1.3772,263.897
10000,4,1.3066,182.4993
10000,4,1.2658,267.4534
10000,4,1.2883,217.7307
10000,4,1.2845,412.2652
1000,2,1.2526,414.8511
1000,2,6.5824,324.1149
1000,2,0.106,247.466
1000,2,0.1042,193.5742
1000,2,1.2961,258.2911
1000,4,0.1459,264.1451
1000,4,0.1062,199.5702
1000,4,0.1054,309.2079
1000,4,0.1065,177.4431
1000,4,0.1057,279.1891
5000,2,0.5931,173.9775
5000,2,0.7349,99.6532
5000,2,0.5895,233.7968
5000,2,0.5909,177.4607
5000,2,0.5821,128.0405
5000,4,0.6009,124.7722
5000,4,0.6151,339.9114
5000,4,0.5902,349.564
5000,4,0.6846,231.4688
5000,4,0.6037,206.1205
10000,2,1.2395,92.8722
10000,2,1.2904,115.8145
10000,2,1.2577,106.9017
10000,2,1.3125,78.5763
10000,2,1.2824,114.4801
10000,4,1.3325,78.487
10000,4,2.3117,116.1385
10000,4,1.2659,100.0533
10000,4,1.3157,86.2652
10000,4,1.2544,79.7883
