1000,2,1.218,58.3664
1000,2,0.3748,50.2476
1000,2,0.2726,116.574
1000,2,0.2694,72.7629
1000,2,0.2754,117.5394
1000,4,0.2005,58.2448
1000,4,0.1964,57.5279
1000,4,0.2604,51.1674
1000,4,0.2708,71.6196
1000,4,0.1955,103.552
5000,2,1.1352,119.3281
5000,2,1.3404,182.4899
5000,2,1.5053,159.8124
5000,2,1.4353,225.4162
5000,2,1.1978,179.3945
5000,4,1.1874,216.1933
5000,4,1.1437,333.8093
5000,4,1.0466,221.9611
5000,4,1.1604,189.2552
5000,4,1.4677,309.3856
10000,2,3.1446,110.0729
10000,2,3.0903,105.4823
10000,2,3.8279,139.6043
10000,2,2.4366,232.908
10000,2,2.1604,125.9066
10000,4,3.8875,248.3401
10000,4,2.5837,282.8772
10000,4,2.5332,248.3286
10000,4,2.2946,313.0359
10000,4,2.473,148.4623
1000,2,1.1106,116.9673
1000,2,0.33,146.9227
1000,2,0.7918,102.9219
1000,2,0.295,65.8939
1000,2,0.2812,85.9203
1000,4,0.2103,73.9256
1000,4,0.2031,84.637
1000,4,0.2608,77.3712
1000,4,0.2822,68.4252
1000,4,0.2012,38.595
5000,2,1.1921,172.1265
5000,2,1.4655,128.3126
5000,2,1.3311,163.1432
5000,2,1.872,273.2615
5000,2,1.5311,148.6307
5000,4,1.0637,230.8714
5000,4,1.1003,220.1139
5000,4,1.2417,370.5994
5000,4,1.1778,339.3286
5000,4,1.6161,211.122
10000,2,3.3244,88.3709
10000,2,3.2493,90.3074
10000,2,4.3746,104.6062
10000,2,2.5189,92.3474
10000,2,2.3113,79.3022
10000,4,2.9956,154.9723
10000,4,2.6954,111.0909
10000,4,2.5816,91.2662
10000,4,2.2854,156.2274
10000,4,2.4082,156.5054
